,location,recognizability,age,participant_id,drawing_category,distance,distance_euclidean,distance_Beijing,distance_euclidean_Beijing,distance_Kisumu,distance_euclidean_Kisumu,distance_USA,distance_euclidean_USA,distance_India,distance_euclidean_India
2332,USA,0.8134765625,7,e21544820627246,cat,0.04248,3.416,0.0478515625,3.6171875,0.0498046875,3.66796875,0.04248046875,3.416015625,0.0376,3.246
2333,USA,0.69580078125,8,e21550696453174,hat,0.0635,4.117,0.0595703125,3.96484375,0.05712890625,3.88671875,0.0634765625,4.1171875,0.05273,3.768
2334,USA,0.12451171875,4,e21540576907849,cat,0.0713,4.668,0.0712890625,4.640625,0.13427734375,6.23828125,0.0712890625,4.66796875,0.0708,4.617
2335,USA,0.990234375,8,e21548105648196,house,0.04443,3.373,0.048828125,3.529296875,0.06005859375,3.900390625,0.04443359375,3.373046875,0.042,3.262
2336,USA,0.034393310546875,4,e21547664938821,airplane,0.05322,3.717,0.06298828125,4.02734375,0.0595703125,3.9140625,0.05322265625,3.716796875,0.06885,4.215
2337,USA,0.2398681640625,9,e21552766577513,bike,0.05225,3.592,0.0498046875,3.541015625,0.05810546875,3.80078125,0.05224609375,3.591796875,0.06934,4.168
2338,USA,0.1146240234375,7,e21547667337924,car,0.05518,3.861,0.0625,4.12109375,0.0498046875,3.681640625,0.05517578125,3.861328125,0.06396,4.15
2339,USA,0.61376953125,5,e21542047659207,cup,0.06152,3.94,0.0810546875,4.5859375,0.06005859375,3.859375,0.0615234375,3.939453125,0.0757,4.45
2340,USA,0.900390625,4,e21547849860466,bike,0.04102,3.33,0.0458984375,3.509765625,0.0478515625,3.59765625,0.041015625,3.330078125,0.0547,3.81
2341,USA,0.79150390625,8,e21549650853022,watch,0.04492,3.45,0.03515625,3.08203125,0.04443359375,3.4375,0.044921875,3.44921875,0.05322,3.752
2342,USA,0.0697021484375,7,e21542224706912,house,0.08154,4.625,0.1181640625,5.53125,0.12841796875,5.74609375,0.08154296875,4.625,0.1035,5.19
2343,USA,0.9951171875,6,e21548097384364,house,0.04883,3.607,0.08056640625,4.59375,0.10009765625,5.0859375,0.048828125,3.607421875,0.0659,4.164
